title,publishedAt,source
The $14 Billion AI Google Killer,2025-06-22T15:25:16Z,Gizmodo.com
"Watch as the Star of ‘Murderbot’ Finally, Begrudgingly Learns How to Speak Human",2025-06-18T13:00:03Z,Gizmodo.com
"Apple Slashes 2024 M4 Mac Mini Price Below Black Friday, Feels Like a Surprise Clearout Sale on Amazon",2025-06-17T12:10:18Z,Gizmodo.com
"Apple Slashes M4 Mac Mini Price Way Below Black Friday, Feels Like a Surprise Clearout Sale on Amazon",2025-06-19T12:16:18Z,Gizmodo.com
Nomad’s minimalist MagSafe wallet has a tracking card built in,2025-06-23T17:04:52Z,The Verge
"OpenAI and Jony Ive’s ‘io’ brand has vanished, but their AI hardware deal remains",2025-06-22T21:44:27Z,The Verge
"Apple’s 2025 MacBook Air With M4 Chip Hits All-Time Low, Limited Units Available for Early Prime Day",2025-06-19T13:10:17Z,Gizmodo.com
Apple Considers Using Generative AI for Faster Apple Silicon Design,2025-06-19T11:01:04Z,MacRumors
"Apple should ditch Siri for Gemini and Google Cloud, here's why",2025-06-17T07:00:00Z,Android Central
NFC is getting a range boost,2025-06-18T16:12:11Z,The Verge
"Apple Celebrates New Store in Perth, Australia With a Special Wallpaper",2025-06-20T03:17:22Z,MacRumors
Discounted Apple Watch Series 10 Now Available From Apple's U.S. Refurbished Store,2025-06-17T19:46:44Z,MacRumors
AirPods Pro 2 Are Back at Their Lowest Price as Apple Clears Out Limited Stock on Amazon,2025-06-18T12:10:04Z,Gizmodo.com
Good News: Two of Apple TV+’s Most Slept-On Sci-Fi Shows Have Hopeful Plans for More,2025-06-23T16:15:27Z,Gizmodo.com
Apple Card Offering Limited-Time Welcome Bonus,2025-06-18T20:18:21Z,MacRumors
Google tests real-time AI voice chats in Search,2025-06-18T15:48:03Z,The Verge
Apple Releases iOS 18.6 Public Beta,2025-06-18T17:24:28Z,MacRumors
Apple Seeds Second Beta of macOS Tahoe,2025-06-23T17:08:15Z,MacRumors
Apple Saves $300 Million After Appeals Court Win in LTE Patent Fight,2025-06-17T19:30:16Z,MacRumors
It's Not Just You: Apple Intelligence is Down on iOS 26 and Other Betas,2025-06-20T01:29:02Z,MacRumors
Apple Sued by Shareholder Over Delayed Siri Features Allegedly Lowering Stock Price,2025-06-20T21:05:12Z,MacRumors
Apple Arcade Game Fruit Ninja Launches Limited-Time Bluey Events,2025-06-19T16:53:02Z,MacRumors
Amazon Rebuilt Alexa Using a ‘Staggering’ Amount of AI Tools,2025-06-18T18:29:22Z,Wired
"Spotify’s HiFi lossless streaming might really, finally, actually be coming soon",2025-06-19T18:40:35Z,The Verge
